PEST,,,,,,,,,DISEASE,
yellow rice borer,"At tillering stage, apply Carbofuran 3G @ 10 kg or Chlorantraniliprole 0.4% G granules
@ 4 kg/acre or spray acephate 50% + imidacloprid 1.8%SP @ 300 g/acre.
At P.I to booting stage, apply Cartap hydrochloride 4G granules @ 8 kg/acre or spray 
Cartap hydrochloride 50 SP @ 400 g or Chlorantraniliprole @ 60 ml/acre in 200 litres 
of spray fluid.",,,,,,,,neck_blast,"Treat the seed with Carbendazim @ 3g/kg of seed.
Spray the nursery and main field with Isoprothiolane @ 1.5 ml or Tricyclazole + 
Mancozeb @ 2.5 or Picoxystrobin + Tricyclazole @ 2 ml or Propiconazole + 
Tricyclazole @ 1 ml or Kasugamycin @ 2.5 ml/l or Trifloxystrobin + Tebuconazole @ 
0.4 g/l of water."
,,,,,,,,,,
rice leaf hopper,"Spray Acephate @ 1.5 g or Imidacloprid + Ethiprole @ 0.25 g or Dinotefuran @ 0.4 g 
or Tryflumezopyrim @ 0.485 ml or Pymetrozine @ 0.6 g/l of water. Rotate the
 chemicals to delay resistance development.",,,,,,,,sheath blight,"Spray Hexaconazole 5 EC or 5 SC @ 2 ml or Validamycin 3% L @ 2.5 ml or 
Propiconazole @ 1 ml or Propiconazole 10.7% + Tricyclazole 34.02% SE @ 1 ml or 
Trifloxystrobin + Tebuconazole @ 0.4 g per litre of water."
,,,,,,,,,,
rice gall midge,"In endemic areas where susceptible varieties are cultivated under late planted
conditions, apply Carbofuran 3G @ 800 g per 200 m² in nursery. Main field application
of Carbofuran 3G @ 10 kg/acre or Fipronil 0.3G @8 kg/acre at 15 DAT, particularly under late planted situations.",,,,,,,,bacterial_leaf_blight,"spray Copper Oxy Chloride @ 3 g and Agrimycin @ 0.4 g or Plantamcyin @ 0.5 or 
Streptomycin sulphate 9% + Tetracycline hydrochloride 1% SP (Streptocycline 9:1 SP) 
or Pauschamycin @ 0.2-0.3 g/l of water twice in 5-7 days interval. Avoid spraying of 
COC at flowering stage of the crop."
,,,,,,,,,,
rice leaf roller,"During tillering stage, spray Acephate 50% + Imidacloprid 1.8% @ 1.5 g per liter of 
water.
During reproductive phase, spray Cartap hydrochloride 50% SP @ 2 g or 
Chlorantraniliprole 18.5% SC @ 0.3 ml or Flubendiamide 480% SC @ 0.1 ml or 
Flubendiamide 20 WDG @ 0.25 g/l of water.",,,,,,,,sheath rot and grain discoloration,"Seed treatment with Carbendazim @ 3 g/kg seed.
Spray Carbendazim 50% WP @ 1 g or Carbendazim + Mancozeb @ 2.5 g or 
Propiconazole @ 1 ml or Trifloxystrobin + Tebuconazole @ 0.4 g/l twice at booting 
stage and 25% flowering stage."
,,,,,,,,,,
brown plant hopper,"Spray Acephate @ 1.5 g or Imidacloprid + Ethiprole @ 0.25 g or Dinotefuran @ 0.4 g 
or Tryflumezopyrim @ 0.485 ml or Pymetrozine @ 0.6 g/l of water. Rotate the
 chemicals to delay resistance development.",,,,,,,,stem rot,"At tillering stage, soil application of Carbendazim 25% + Mancozeb 50% @2.5 g/kg of 
Urea.
Spray Hexaconazole 5EC or 5 SC @ 2 ml or Validamycin @ 2 ml or Propiconazole @ 
1 ml or Tebuconazole @ 1 ml or Carbendazim 50% WP @ 1 g/l of water twice at 5-7 
days interval.
The fungicide spray should be targeted towards the basal portion of the tillers just 
above the water level."
,,,,,,,,,,
Asiatic rice borer,"At tillering stage, apply Carbofuran 3G @ 10 kg or Chlorantraniliprole 0.4% G granules
@ 4 kg/acre or spray acephate 50% + imidacloprid 1.8%SP @ 300 g/acre.
At P.I to booting stage, apply Cartap hydrochloride 4G granules @ 8 kg/acre or spray 
Cartap hydrochloride 50 SP @ 400 g or Chlorantraniliprole @ 60 ml/acre in 200 litres 
of spray fluid.",,,,,,,,brown_spot ,"the fungus is seed transmitted, a hot water seed treatment (53-54°C) for 10-12 minutes may be effective before sowing. This treatment controls primary infection at the seedling stage. Presoaking the seed in cold water for 8 hours increases effectivity of the treatment."
,,,,,,,,,,
rice leaf caterpillar,"flubendiamide, chlorantraniliprole, alpha-cypermethrin, abamectin 2%, or cartap hydrochloride to kill the larvae.",,,,,,,,leaf_blast,"Spraying of Tricyclazole at 1g/lit of water or Edifenphos at 1 ml/lit of water or Carbendazim at 1.0 gm/lit. 3 to 4 sprays each at nursery, tillering stage and panicle emergence stage may be required for complete control."
,,,,,,,,,,
paddy stem maggot,The newly hatched borer larvae must be flit with 2 rounds of quinalphos or phosphomidon at 1000ml/ha at 7 days interval. Spray any one of the following based on ETLs : Quinalphos 25 EC 1000 ml/ha (or) Phosphamidon 40 SL 600 ml/ha (or) Profenophos 50 EC 1000 ml/ha.,,,,,,,,leaf_scald,"Use chemicals like benomyl, carbendazim, quitozene, and thiophanate-methyl to treat seeds. Spray benomyl, fentin acetate, edifenphos, and validamycin in the field to reduce leaf scald. Foliar application of captafol, mancozeb, and copper oxychloride can also reduce the incidence and severity of leaf scald."
,,,,,,,,,,
rice stem fly,The recommended dosage here is 2.5 kg per acre with a 20-30 DAT during the vegetative or tillering stage. Cover Insecticide is in the anthranilic diamide class having a novel action on the ryanodine receptors of the insects. It contains Chlorantraniliprole 0.4% GR.,,,,,,,,narrow_brown_spot,"Use balanced nutrients; make sure that adequate potassium is used. If narrow brown spot poses a risk to the field, spray propiconazole at booting to heading stages."
,,,,,,,,,,
rice water weevil,Generally the fumigants like methyl bromide (MeBr) and aluminium phosphide are used to control this insect in storage godowns of warehouses.,,,,,,,,,
,,,,,,,,,,
rice shell pest,"Chemicals like chlorpyriphos, carbaryl, malathion, lambda-cyhalothrin and zeta-cypermethrin are broad-spectrum pesticides effective against rice pests. Narrow-spectrum options like copper sulfate pentahydrate and diflubenzuron provide short-term control lasting a few days to two weeks.",,,,,,,,rice hispa,Spray/broadcast/dust any one of the following insecticides per acre based on ETL: carbofuran 3% CG 10 kg; emamectin benzoate 1.9 EC 170 ml; malathion 5 DP 10 kg; malathion 50 EC 460 ml.
,,,,,,,,,,
thrips,"Ashwamedh Plus (Diafenthiuron 40.1% + Acetamiprid 3.9% WP) is used at 200–250 g/acre, while IMD-70 (Imidacloprid 70% WG) requires 2–3 g/15 L water. Beauveria Bassiana (750 ml–1 L/acre) and Doctor 505 (Chlorpyriphos 50% + Cypermethrin 5% EC) are applied at 300 ml/acre.",,,,,,,,tungro,Spray insecticides like buprofezin or pymetrozine 15 and 30 days after transplanting
